artist                                                count
omar rayyan                                              54
mark romanoski                                           53
bradley williams                                         53
marco nelor                                              52
hannibal king                                            51
andi rusu                                                51
adrian smith                                             51
evyn fong                                                51
evan shipard                                             50
eric fortune                                             50
trevor hairsine                                          50
david a. cherry                                          50
sam wood                                                 50
karla ortiz                                              50
even amundsen                                            50
mike ploog                                               49
larry macdougall                                         49
jon foster                                               48
larry elmore                                             48
kev brockschmidt                                         48
tommy arnold                                             48
justin hampton                                           48
gary leach                                               48
philip straub                                            48
bryon wackwitz                                           48
larissa hasenheit & mina jeon                            48
ittoku                                                   47
zina saunders                                            47
alix branwyn                                             47
tuan duong chu                                           47
ben wootten                                              47
cornelius brudi                                          46
mike sass                                                46
andreas zafiratos                                        46
rudy siswanto                                            45
ciruelo                                                  45
kari christensen                                         45
shishizaru                                               45
matt thompson                                            44
jake murray                                              44
g-host lee                                               44
justyna dura                                             44
olivier bernard                                          44
joshua raphael                                           44
dan dos santos                                           43
ray lago                                                 43
ken meyer, jr.                                           43
mike kimble                                              43
thomas gianni                                            43
greg simanson                                            43
e. m. gist                                               43
yohann schepacz                                          42
suzanne helmigh                                          42
liiga smilshkalne                                        42
shelly wan                                               41
ben maier                                                41
james zapata                                             41
ian miller                                               40
alexander forssberg                                      40
dana knutson                                             39
paul bonner                                              39
christopher burdett                                      39
sung choi                                                39
jeff laubenstein                                         39
steve ellis                                              39
dallas williams                                          38
dennis detwiller                                         38
nicola leonard                                           38
mike burns                                               38
bud cook                                                 38
bayard wu                                                38
richard sardinha                                         37
tony foti                                                37
shreya shetty                                            37
martina fackova                                          37
mark a. nelson                                           36
janine johnston                                          36
michael phillippi                                        36
efrem palacios                                           36
nic klein                                                35
kim sokol                                                35
denman rooke                                             35
viko menezes                                             35
chris ostrowski                                          35
jeff simpson                                             34
gerry grace                                              34
john coulthart                                           34
tianhua x                                                34
wylie beckert                                            34
nottsuo                                                  33
david o'connor                                           33
charles urbach                                           33
robin olausson                                           33
brent hollowell                                          33
bruce brenneise                                          33
andrea radeck                                            33
jon j muth                                               32
puddnhead                                                32
david astruga                                            32
leonardo santanna                                        32
igor grechanyi                                           32
anato finnstark                                          32
ernanda souza                                            31
xavier ribeiro                                           31
hector ortiz                                             31
tom kyffin                                               31
keith parkinson                                          31
sean murray                                              31
justine mara andersen                                    31
sam rowan                                                31
sam white                                                30
francisco miyara                                         30
aurore folny                                             30
scooter                                                  30
william o'connor                                         29
charles gillespie                                        29
stuart griffin                                           29
tony roberts                                             29
colin macneil                                            29
carl frank                                               29
dominick domingo                                         29
lorenzo mastroianni                                      29
goran josic                                              29
steve white                                              28
diego gisbert                                            28
iain mccaig                                              28
tomas duchek                                             28
alessandra pisano                                        28
jean-sebastien rossbach                                  28
julian kok joon wen                                      28
dave greco                                               28
emrah elmasli                                            28
keith garletts                                           27
ruth thompson                                            27
kasia 'kafis' zielińska                                  27
tsutomu kawade                                           27
marc simonetti                                           26
helge c. balzer                                          26
darren tan                                               26
randy elliott                                            26
iris compiet                                             26
john thacker                                             26
scott hampton                                            26
nick percival                                            25
d. j. cleland-hura                                       25
jama jurabaev                                            25
david auden nash                                         25
mike jordana                                             25
muhammad firdaus                                         25
justine jones                                            25
mitchell malloy                                          25
john howe                                                24
stanton feng                                             24
jodie muir                                               24
valera lutfullina                                        24
david semple                                             24
lucio parrillo                                           23
julie dillon                                             23
tomas giorello                                           23
george pratt                                             23
clint langley                                            23
cliff nielsen                                            23
joel thomas                                              23
pedro potier                                             23
michael bruinsma                                         23
leanna crossan                                           23
david sladek                                             23
mark hyzer                                               22
kimonas theodossiou                                      22
marc fishman                                             22
gao yan                                                  22
anna podedworna                                          22
jasper sandner                                           22
torstein nordstrand                                      22
rovina cai                                               22
bob ross                                                 22
john zeleznik                                            21
jeremy enecio                                            21
kirsten zirngibl                                         21
fajareka setiawan                                        21
monte michael moore                                      21
matthew mitchell                                         21
jarel threat                                             21
pauline voss                                             21
tingting yeh                                             21
maciej kuciara                                           21
jamroz gary                                              21
vladimir krisetskiy                                      21
bob petillo                                              20
pat lewis                                                20
oriana menendez                                          20
fariba khamseh                                           20
sarah finnigan                                           20
phil stone                                               20
forrest imel                                             20
tom babbey                                               20
konstantin porubov                                       20
raluca marinescu                                         20
jedd chevrier                                            20
marco bucci                                              20
nelson decastro                                          19
jeffrey r. busch                                         19
sebastian giacobino                                      19
lucas staniec                                            19
ben hill                                                 19
sean sevestre                                            19
mads ahm                                                 19
matt gaser                                               19
zara alfonso                                             19
eric velhagen                                            18
kaja foglio & phil foglio                                18
ted naifeh                                               18
april prime                                              18
henry g. higginbotham                                    18
pat lee                                                  18
vincent christiaens                                      18
thomas denmark                                           18
justin hernandez & alexis hernandez                      18
marcelo vignali                                          17
cole eastburn                                            17
kamila szutenberg                                        17
william wu                                               17
miguel mercado                                           17
sam guay                                                 17
miranda meeks                                            17
jeff dee                                                 17
lawrence snelly                                          17
ovidio cartagena                                         17
